mmu-miR-7119-3p	miR-7119-3p
mml-miR-93-5p	miR-106-5p/17-5p/20-5p/93-5p/519
mml-miR-106a-5p	miR-106-5p/17-5p/20-5p/93-5p/519
mml-miR-106b-5p	miR-106-5p/17-5p/20-5p/93-5p/519
mml-miR-519d	miR-106-5p/17-5p/20-5p/93-5p/519
ptr-miR-17-5p	miR-17-5p/20/93/106/519
ptr-miR-20a	miR-17-5p/20/93/106/519
ptr-miR-20b	miR-17-5p/20/93/106/519
ptr-miR-93	miR-17-5p/20/93/106/519
ptr-miR-106a	miR-17-5p/20/93/106/519
ptr-miR-106b	miR-17-5p/20/93/106/519
ptr-miR-519d	miR-17-5p/20/93/106/519
cfa-miR-20a	miR-20/93/106
cfa-miR-20b	miR-20/93/106
cfa-miR-93	miR-20/93/106
cfa-miR-106a	miR-20/93/106
cfa-miR-106b	miR-20/93/106
bta-miR-17-5p	miR-17-5p/20/93/106
bta-miR-20a	miR-17-5p/20/93/106
bta-miR-20b	miR-17-5p/20/93/106
bta-miR-93	miR-17-5p/20/93/106
bta-miR-106a	miR-17-5p/20/93/106
bta-miR-106b	miR-17-5p/20/93/106
rno-miR-17-5p	miR-17-5p/20-5p/93-5p/106b-5p
rno-miR-20a-5p	miR-17-5p/20-5p/93-5p/106b-5p
rno-miR-20b-5p	miR-17-5p/20-5p/93-5p/106b-5p
rno-miR-93-5p	miR-17-5p/20-5p/93-5p/106b-5p
rno-miR-106b-5p	miR-17-5p/20-5p/93-5p/106b-5p
mdo-miR-17-5p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mdo-miR-20a-5p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mdo-miR-20b-5p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mdo-miR-93-5p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mdo-miR-106-5p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mdo-miR-1643b-3p	miR-17-5p/20-5p/93-5p/106-5p/1643-3p
mmu-miR-17-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-20a-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-20b-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-93-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-106a-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-106b-5p	miR-17-5p/20-5p/93-5p/106-5p
mmu-miR-6383	miR-17-5p/20-5p/93-5p/106-5p
bta-miR-2284a	miR-2284a/2284b/2284g/2284u/2284y
bta-miR-2284b	miR-2284a/2284b/2284g/2284u/2284y
bta-miR-2284g	miR-2284a/2284b/2284g/2284u/2284y
bta-miR-2284u	miR-2284a/2284b/2284g/2284u/2284y
bta-miR-2284y	miR-2284a/2284b/2284g/2284u/2284y
bta-miR-2284l	miR-2284l
mdo-miR-7386d-3p	miR-7386d-3p
ptr-miR-3121	miR-3121
mmu-miR-3473f	miR-3473f
gga-miR-551-5p	miR-551-5p
mml-miR-551b-5p	miR-551-5p
rno-miR-551b-5p	miR-551-5p
mdo-miR-551b-5p	miR-551-5p
mmu-miR-551b-5p	miR-551b-5p
mml-miR-605	miR-605
ptr-miR-605	miR-605
mdo-miR-7313-5p	miR-7313-5p
rno-miR-3560	miR-3560
mdo-miR-7398d-3p	miR-7398d-3p
bta-miR-2285b	miR-2285b
mmu-miR-1264-3p	miR-1264-3p
mml-miR-518e	miR-518
ptr-miR-522	miR-522
mdo-miR-7307-3p	miR-7307-3p
rno-miR-10a-3p	miR-10a-3p
mmu-miR-10a-3p	miR-10a-3p
mdo-miR-7398a-3p	miR-7398a-3p/7398b-3p
mdo-miR-7398b-3p	miR-7398a-3p/7398b-3p
cfa-miR-8838	miR-8838
bta-miR-3613b	miR-3613b
mml-miR-495-3p	miR-495-3p
ptr-miR-495	miR-495
cfa-miR-495	miR-495
bta-miR-495	miR-495
rno-miR-495	miR-495
mmu-miR-495-3p	miR-495-3p
mmu-miR-1192	miR-495-3p
mmu-miR-7a-1-3p	miR-7a-1-3p
gga-miR-21-3p	miR-21-3p
gga-miR-6552-3p	miR-6552-3p
rno-miR-7a-2-3p	miR-7-3p
mmu-miR-7a-2-3p	miR-7a-2-3p/7b-3p
mmu-miR-7b-3p	miR-7a-2-3p/7b-3p
mmu-miR-7212-3p	miR-7212-3p
mdo-miR-7385a-3p	miR-7385a-3p
mml-miR-21-3p	miR-21-3p
mdo-miR-7324-5p	miR-7324-5p
xtr-miR-200a	miR-200a
gga-miR-200a-3p	miR-200a-3p
mml-miR-200a-3p	miR-200a-3p
ptr-miR-141	miR-141/200a
ptr-miR-200a	miR-141/200a
bta-miR-141	miR-141/200a
bta-miR-200a	miR-141/200a
rno-miR-141-3p	miR-141-3p/200a-3p
rno-miR-200a-3p	miR-141-3p/200a-3p
mdo-miR-141-3p	miR-141-3p/200a-3p
mdo-miR-200a-3p	miR-141-3p/200a-3p
mmu-miR-141-3p	miR-141-3p/200a-3p
mmu-miR-200a-3p	miR-141-3p/200a-3p
gga-miR-7437-5p	miR-7437-5p
cfa-miR-8904a	miR-8904a
cfa-miR-8904b	miR-8904b
rno-miR-21-3p	miR-21-3p
mmu-miR-21a-3p	miR-21-3p
mmu-miR-6981-3p	miR-6981-3p
mmu-miR-6997-5p	miR-6997-5p
xtr-miR-132	miR-132/212
xtr-miR-212	miR-132/212
mml-miR-132-3p	miR-132-3p/212-3p
mml-miR-212-3p	miR-132-3p/212-3p
cfa-miR-132	miR-132
bta-miR-132	miR-132
rno-miR-132-3p	miR-132-3p/212-3p
rno-miR-212-3p	miR-132-3p/212-3p
mdo-miR-132-3p	miR-132-3p/212-3p
mdo-miR-212-3p	miR-132-3p/212-3p
mmu-miR-132-3p	miR-132-3p/212-3p
mmu-miR-212-3p	miR-132-3p/212-3p
mml-miR-4803	miR-4803
mdo-miR-7385c-3p	miR-7385c-3p
mmu-miR-499-3p	miR-499-3p
mmu-miR-448-5p	miR-448-5p
bta-miR-2483-3p	miR-2483-3p
gga-miR-1667-3p	miR-1667-3p
rno-miR-322-3p	miR-322-3p
mmu-miR-322-3p	miR-322-3p
rno-miR-218a-1-3p	miR-218a-1-3p
mmu-miR-218-1-3p	miR-218-1-3p/496b
mmu-miR-496b	miR-218-1-3p/496b
mml-miR-543-3p	miR-543-3p
ptr-miR-543	miR-543
cfa-miR-543	miR-543
bta-miR-543	miR-543
rno-miR-543-3p	miR-543-3p
mmu-miR-543-3p	miR-543-3p
mmu-miR-7210-5p	miR-7210-5p
bta-miR-3604	miR-3604
mmu-miR-7075-3p	miR-7075-3p
bta-miR-2285o	miR-2285o
mmu-miR-652-5p	miR-652-5p
mml-miR-616	miR-616
mdo-miR-7398h-3p	miR-7398h-3p
xtr-miR-451	miR-451
gga-miR-451	miR-451
mml-miR-451	miR-451
ptr-miR-451	miR-451
cfa-miR-451	miR-451
bta-miR-451	miR-451
rno-miR-451-5p	miR-451-5p
mdo-miR-451	miR-451
mmu-miR-451a	miR-451
gga-miR-7462-5p	miR-7462-5p
mmu-miR-3103-3p	miR-3103-3p
gga-miR-1572	miR-1572
bta-miR-2285c	miR-2285c/2285d/2285e/2285g
bta-miR-2285d	miR-2285c/2285d/2285e/2285g
bta-miR-2285e	miR-2285c/2285d/2285e/2285g
bta-miR-2285g	miR-2285c/2285d/2285e/2285g
gga-miR-490-3p	miR-490-3p
mml-miR-490-3p	miR-490-3p
ptr-miR-490	miR-490
cfa-miR-490	miR-490
bta-miR-490	miR-490
rno-miR-490-3p	miR-490-3p
mmu-miR-490-3p	miR-490-3p
mml-miR-649	miR-649
ptr-miR-649	miR-649
mmu-miR-582-3p	miR-582-3p/5107-3p
mmu-miR-5107-3p	miR-582-3p/5107-3p
mdo-miR-7398i-3p	miR-7398i-3p/7398j-3p
mdo-miR-7398j-3p	miR-7398i-3p/7398j-3p
rno-miR-191b	miR-191
mmu-miR-196a-1-3p	miR-196a-1-3p
mdo-miR-7398f-3p	miR-7398f-3p
gga-miR-1666	miR-1666
mmu-miR-122-3p	miR-122-3p
gga-miR-6579-5p	miR-6579-5p
ptr-miR-614	miR-614
ptr-miR-523	miR-523
xtr-miR-191	miR-191
mml-miR-191-5p	miR-191-5p
ptr-miR-191	miR-191
cfa-miR-191	miR-191
bta-miR-191	miR-191
rno-miR-191a-5p	miR-191-5p
mdo-miR-191-5p	miR-191-5p
mmu-miR-191-5p	miR-191-5p
mml-miR-337-5p	miR-337-5p
mmu-miR-7234-3p	miR-7234-3p
ptr-miR-606	miR-606
mml-miR-708-3p	miR-708-3p
rno-miR-708-3p	miR-708-3p
mmu-miR-708-3p	miR-708-3p
mmu-miR-3087-3p	miR-3087-3p
bta-miR-2284t-3p	miR-2284-3p/2435
bta-miR-2435	miR-2284-3p/2435
mml-miR-618	miR-618
ptr-miR-618	miR-618
mmu-miR-7118-3p	miR-7118-3p
mmu-miR-6944-3p	miR-6944-3p
bta-miR-2352	miR-2352
mmu-miR-1936	miR-1936
rno-miR-883-3p	miR-883-3p
mmu-miR-883a-3p	miR-883ab-3p
mmu-miR-883b-3p	miR-883ab-3p
gga-miR-1796	miR-1796
mml-miR-1243-3p	miR-1243-3p
mdo-miR-7262b-3p	miR-7262-3p/7268-5p
mdo-miR-7268-5p	miR-7262-3p/7268-5p
gga-miR-1631	miR-1631
mml-miR-582-3p	miR-582-3p
rno-miR-881-3p	miR-881-3p
gga-miR-6710-3p	miR-6710-3p
mmu-miR-6915-3p	miR-6915-3p
bta-miR-1434-3p	miR-1434-3p
gga-miR-196-1-3p	miR-196-1-3p
mdo-miR-196a-3p	miR-196-3p
ptr-miR-548b	miR-548b
mdo-miR-7328-3p	miR-7328-3p
mdo-miR-7386o-3p	miR-7386o-3p
mdo-miR-7386k-3p	miR-7386k-3p/7386m-3p
mdo-miR-7386m-3p	miR-7386k-3p/7386m-3p
mmu-miR-216c-5p	miR-216c-5p
ptr-miR-641	miR-641
gga-miR-6631-5p	miR-6631-5p
mdo-miR-7371b-3p	miR-7371b-3p/7371e-3p
mdo-miR-7371e-3p	miR-7371b-3p/7371e-3p
gga-miR-1630	miR-1630
mdo-miR-7312-5p	miR-7312-5p
mdo-miR-7270-5p	miR-7270-5p
gga-miR-1719	miR-1719
mdo-miR-7296-3p	miR-7296-3p
rno-miR-741-3p	miR-741-3p
mdo-miR-7316-5p	miR-7316-5p
bta-miR-2370-3p	miR-2370-3p
gga-miR-6550-5p	miR-6550-5p
bta-miR-562	miR-562
bta-miR-2286	miR-2286
mmu-miR-677-3p	miR-677-3p
mmu-miR-129b-3p	miR-129b-3p
mmu-miR-8090	miR-8090
mml-miR-518d-3p	miR-518df-3p
mml-miR-518f	miR-518df-3p
ptr-miR-518e	miR-518
mdo-miR-7273-5p	miR-7273-5p
gga-miR-99a-3p	miR-99-3p
bta-miR-99a-3p	miR-99-3p
rno-miR-99a-3p	miR-99-3p
rno-miR-99b-3p	miR-99-3p
mmu-miR-99a-3p	miR-99-3p
mmu-miR-99b-3p	miR-99-3p
mdo-miR-7321-3p	miR-7321-3p
rno-miR-100-3p	miR-100-3p
gga-miR-1612	miR-1612
mdo-miR-7386h-3p	miR-7386h-3p
ptr-miR-4428	miR-4428
mmu-miR-5125-5p	miR-5125-5p
mml-miR-3173	miR-3173
ptr-miR-3173	miR-3173
mdo-miR-1547-3p	miR-1547-3p
mml-miR-541-5p	miR-541-5p
bta-miR-2462	miR-2462
mmu-miR-8095	miR-8095
mmu-miR-7092-5p	miR-7092-5p
mml-miR-506-3p	miR-506-3p
ptr-miR-506	miR-506
cfa-miR-124	miR-124
bta-miR-124a	miR-124
bta-miR-124b	miR-124
rno-miR-124-3p	miR-124-3p
mmu-miR-124-3p.1	miR-124-3p.1
gga-miR-1665	miR-1665
ptr-miR-524	miR-524/525
ptr-miR-525	miR-524/525
mmu-miR-690	miR-690
mmu-miR-700-5p	miR-700-5p
bta-miR-449d	miR-449
mmu-miR-7652-5p	miR-7652-5p
mdo-miR-1643a-3p	miR-1643-3p
mmu-miR-7653-5p	miR-7653-5p
rno-miR-540-5p	miR-540-5p
mmu-miR-540-5p	miR-540-5p
gga-miR-1570	miR-1570
mdo-miR-7383-5p	miR-7383-5p
mml-miR-548i-5p	miR-548i-5p
rno-miR-679	miR-679
xtr-miR-18a-5p	miR-18-5p
xtr-miR-18b	miR-18-5p
gga-miR-18a-5p	miR-18-5p
gga-miR-18b-5p	miR-18-5p
mml-miR-18a-5p	miR-18-5p/524-3p
mml-miR-18b	miR-18-5p/524-3p
mml-miR-524-3p	miR-18-5p/524-3p
ptr-miR-18a	miR-18
ptr-miR-18b	miR-18
cfa-miR-18a	miR-18
cfa-miR-18b	miR-18
bta-miR-18a	miR-18
bta-miR-18b	miR-18
rno-miR-18a-5p	miR-18-5p
mdo-miR-18a-5p	miR-18-5p
mdo-miR-18b-5p	miR-18-5p
mmu-miR-18a-5p	miR-18-5p
mmu-miR-18b-5p	miR-18-5p
gga-miR-1596-3p	miR-1596-3p
mml-miR-562	miR-562
ptr-miR-562	miR-562
mdo-miR-7347-5p	miR-7347-5p
mml-miR-224-5p	miR-224-5p
ptr-miR-224	miR-224
cfa-miR-224	miR-224
bta-miR-224	miR-224
rno-miR-224-5p	miR-224-5p
mmu-miR-224-5p	miR-224-5p
rno-miR-6325	miR-6325
ptr-miR-1264	miR-1264
mmu-miR-5709-3p	miR-5709-3p
gga-miR-1627-5p	miR-1627-5p
mml-miR-517b	miR-517/519/1323-3p
mml-miR-519c	miR-517/519/1323-3p
mml-miR-1323-3p	miR-517/519/1323-3p
ptr-miR-519a	miR-519-3p
ptr-miR-519b	miR-519-3p
ptr-miR-519c	miR-519-3p
ptr-miR-519f-3p	miR-519-3p
rno-miR-291b	miR-291
mmu-miR-291b-3p	miR-291b-3p
mmu-miR-350-5p	miR-291b-3p
mmu-miR-290a-3p	miR-292a-3p/467a-5p
mmu-miR-292a-3p	miR-292a-3p/467a-5p
mmu-miR-467a-5p	miR-292a-3p/467a-5p
mmu-miR-467c-5p	miR-467cd-5p
mmu-miR-467d-5p	miR-467cd-5p
xtr-miR-302	miR-302/428
xtr-miR-428a	miR-302/428
gga-miR-302b-3p	miR-302-3p
gga-miR-302c-3p	miR-302-3p
gga-miR-302d	miR-302-3p
mml-miR-302a-3p	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-302b	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-302c	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-302d	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-372-3p	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-373	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-518a-3p	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-519a-3p	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
mml-miR-520a-3p	miR-302-3p/372-3p/373/518-3p/519-3p/520-3p
ptr-miR-302a	miR-302/372/520
ptr-miR-302b	miR-302/372/520
ptr-miR-302c	miR-302/372/520
ptr-miR-302d	miR-302/372/520
ptr-miR-302e	miR-302/372/520
ptr-miR-372	miR-302/372/520
ptr-miR-520a	miR-302/372/520
ptr-miR-520b	miR-302/372/520
ptr-miR-520d	miR-302/372/520
ptr-miR-520e	miR-302/372/520
bta-miR-302b	miR-302
bta-miR-302c	miR-302
bta-miR-302d	miR-302
rno-miR-105	miR-105/291-3p
rno-miR-291a-3p	miR-105/291-3p
mdo-miR-302a	miR-302
mdo-miR-302b	miR-302
mdo-miR-302c	miR-302
mdo-miR-302d	miR-302
mmu-miR-291a-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-294-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-295-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-302a-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-302b-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-302d-3p	miR-291-3p/294-3p/295-3p/302-3p
mmu-miR-6949-5p	miR-6949-5p
mml-miR-595	miR-595
ptr-miR-595	miR-595
gga-miR-7445-5p	miR-7445-5p
bta-miR-2284f	miR-2284f/2284o
bta-miR-2284o	miR-2284f/2284o
gga-miR-148a-5p	miR-148-5p
mml-miR-148a-5p	miR-148-5p
mml-miR-148b-5p	miR-148-5p
rno-miR-148a-5p	miR-148-5p
rno-miR-148b-5p	miR-148-5p
mdo-miR-148-5p	miR-148-5p
mmu-miR-148a-5p	miR-148-5p
mmu-miR-148b-5p	miR-148-5p
mml-miR-495-5p	miR-495-5p/543-5p
mml-miR-543-5p	miR-495-5p/543-5p
mdo-miR-7389-3p	miR-7389-3p
mmu-miR-495-5p	miR-495-5p
gga-miR-7447-5p	miR-7447-5p
mdo-miR-7319-3p	miR-7319-3p
mml-miR-382-5p	miR-382-5p
ptr-miR-382	miR-382
bta-miR-382	miR-382
rno-miR-382-5p	miR-382-5p
mmu-miR-382-5p	miR-382-5p
ptr-miR-561	miR-561
mdo-miR-7296-5p	miR-7296-5p
mmu-miR-6905-3p	miR-6905-3p
mdo-miR-7386i-3p	miR-7386i-3p
xtr-miR-200b	miR-200b/429
xtr-miR-429	miR-200b/429
gga-miR-200b-3p	miR-200b-3p/429-3p
gga-miR-429-3p	miR-200b-3p/429-3p
mml-miR-429-3p	miR-429-3p/548
mml-miR-548a	miR-429-3p/548
ptr-miR-200c	miR-200c/429
cfa-miR-200c	miR-200c/429
cfa-miR-429	miR-200c/429
bta-miR-200b	miR-200bc/429
bta-miR-200c	miR-200bc/429
bta-miR-429	miR-200bc/429
rno-miR-200b-3p	miR-200bc-3p/429
rno-miR-200c-3p	miR-200bc-3p/429
rno-miR-429	miR-200bc-3p/429
mdo-miR-200b-3p	miR-200bc-3p/429
mdo-miR-200c-3p	miR-200bc-3p/429
mdo-miR-429	miR-200bc-3p/429
mmu-miR-200b-3p	miR-200bc-3p/429-3p
mmu-miR-200c-3p	miR-200bc-3p/429-3p
mmu-miR-429-3p	miR-200bc-3p/429-3p
mdo-miR-7332-5p	miR-7332-5p
mmu-miR-3472	miR-3472
mdo-miR-7281-5p	miR-7281-5p
ptr-miR-633	miR-633
mdo-miR-7388c-3p	miR-7388c-3p
mdo-miR-7374a-3p	miR-7374a-3p
mdo-miR-7385f-3p	miR-7385f-3p
mml-miR-7199-5p	miR-7199-5p
mml-miR-34b	miR-34
ptr-miR-34b	miR-34b
gga-miR-34a-3p	miR-34a-3p
rno-miR-96-3p	miR-96-3p
mmu-miR-96-3p	miR-96-3p/3475-5p
mmu-miR-3475-5p	miR-96-3p/3475-5p
gga-miR-15b-3p	miR-15b-3p
bta-miR-3578	miR-3578
mml-miR-500a-5p	miR-500-5p
mml-miR-500b-5p	miR-500-5p
ptr-miR-500	miR-500
bta-miR-500	miR-500
mdo-miR-7398n-3p	miR-7398n-3p/7398p-3p
mdo-miR-7398p-3p	miR-7398n-3p/7398p-3p
xtr-miR-216	miR-216
gga-miR-216a	miR-216a
mml-miR-216a-5p	miR-216-5p
cfa-miR-216a	miR-216a
bta-miR-216a	miR-216a
rno-miR-216a-5p	miR-216a-5p
mdo-miR-216	miR-216
mmu-miR-216a-5p	miR-216a-5p
gga-miR-216b	miR-216b
mml-miR-216b	miR-216
ptr-miR-216b	miR-216b
cfa-miR-216b	miR-216b
bta-miR-216b	miR-216b
rno-miR-216b-5p	miR-216b-5p
mmu-miR-216b-5p	miR-216b-5p
mml-miR-3200-5p	miR-3200-5p
bta-miR-2489	miR-2489
bta-miR-2486-3p	miR-2486-3p
mmu-miR-1194	miR-1194
bta-miR-2372	miR-2372
mdo-miR-7341-3p	miR-7341-3p
cfa-miR-8871	miR-8871
xtr-miR-365	miR-365
gga-miR-365-3p	miR-365-3p
mml-miR-365-3p	miR-365-3p
ptr-miR-365	miR-365
cfa-miR-365	miR-365
bta-miR-365-3p	miR-365-3p
rno-miR-365-3p	miR-365-3p
mdo-miR-365-3p	miR-365-3p
mmu-miR-365-3p	miR-365-3p
mdo-miR-7386f-3p	miR-7386f-3p
mdo-miR-7369-5p	miR-7369-5p
gga-miR-7464-5p	miR-7464-5p
mmu-miR-3092-3p	miR-3092-3p
gga-miR-3530-3p	miR-3530-3p
rno-miR-224-3p	miR-224-3p
mmu-miR-224-3p	miR-224-3p
bta-miR-2284ac	miR-2284ac
mml-miR-409-3p	miR-409-3p
ptr-miR-409	miR-409
mmu-miR-409-3p	miR-409-3p
rno-miR-33-3p	miR-33-3p
mmu-miR-33-3p	miR-33-3p
cfa-miR-8908a-3p	miR-8908-3p
mml-miR-944	miR-944
ptr-miR-944	miR-944
mmu-miR-6906-3p	miR-6906-3p
gga-miR-10a-3p	miR-10a-3p
mml-miR-10a-3p	miR-10a-3p
mdo-miR-10a-3p	miR-10a-3p
mdo-miR-7398e-3p	miR-7398e-3p
mdo-miR-7282-5p	miR-7282-5p
mmu-miR-6390	miR-6390
bta-miR-367	miR-367
mdo-miR-367	miR-367
ptr-miR-302f	miR-302
cfa-miR-8839	miR-8839
bta-miR-2473	miR-2473
mmu-miR-6375	miR-6375
mmu-miR-5128	miR-5128
mmu-miR-32-3p	miR-32-3p
mdo-miR-7398q-3p	miR-7398q-3p
mmu-miR-7057-3p	miR-7057-3p
mml-miR-590-3p	miR-590-3p
ptr-miR-590	miR-590
cfa-miR-590	miR-590
mmu-miR-590-3p	miR-590-3p
mdo-miR-7398u-3p	miR-7398u-3p
mmu-miR-8118	miR-8118
gga-miR-6548-5p	miR-6548-5p
mdo-miR-7262a-3p	miR-7262-3p
mml-miR-549b-3p	miR-549-3p
gga-miR-219b	miR-219b
mml-miR-624	miR-624
mmu-miR-8097	miR-8097
ptr-miR-624	miR-624
mml-miR-338-5p	miR-338-5p
rno-miR-338-5p	miR-338-5p
mmu-miR-338-5p	miR-338-5p
mmu-miR-6355	miR-6355
mmu-miR-669c-3p	miR-669c-3p
mml-miR-329-3p	miR-329-3p/362-3p
mml-miR-362-3p	miR-329-3p/362-3p
